"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58"
"44" 0 0 0.55 0 1.11 0 0.18 0 0 0 0 0.18 0.92 0 0.18 0 0.37 0.37 3.15 0 0.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.182 0 0.426 0 0 1.283 4 68 1
"45" 0 0 0 0 0.52 0 0.26 0.52 0 0.26 0.26 0.52 0 0 0 0.26 1.56 0.26 1.82 2.08 0.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.073 0 0.813 0.036 0.147 2.145 38 339 1
"48" 0.49 0 0.99 0 0 0.99 0 0 0 0.99 0.99 2.48 0.49 0 0 4.97 0.99 0 3.48 0 1.99 0 0.49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0.17 0 0 1.468 8 94 1
"49" 0.46 0.3 0.46 0 0.05 0.12 0.05 0.28 0.43 0.74 0.25 0.97 0.56 1.23 0 0.25 0.43 0.02 3.22 0 1.46 0 1.05 0.36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.065 0 0.325 0.756 0.153 5.891 193 3040 1
"54" 0 1.26 0 0 0 1.26 0 0 0 0 0 1.26 0 0 0 0 0 0 0 0 1.26 0 0 1.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.26 0 0 0 0 0.198 0 0.198 0.596 0 3.833 17 69 1
"55" 0.73 0.36 0.73 0 0 0.73 0.73 1.1 0.36 0.36 0 0.36 0 0 0 1.1 0.36 0.36 2.2 2.2 2.2 0 1.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111 0 0.5 0.333 0 3.259 30 176 1
"56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08 0 0 1.08 0 2.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.478 0 0 2 30 106 1
"58" 0 0 1.26 0 0 0 0 0 0 0 0 2.53 0 0 0 0 0 0 2.53 0 5.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.642 8 51 1
"62" 0.23 0 0.47 0 0.23 0 0 0 0 0 0 0 0 0.23 0 0.23 0.23 0 7.1 0 1.89 0 0 0.23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.71 0 0 0 0.043 0.043 0 0.175 0 0 1.294 11 66 1
"64" 0 0.34 0 0 0.68 0 0.68 0 0 0.34 0.34 0 0 0 0 0.34 0 1.36 3.42 0 2.73 0 0 0 0.34 0.34 0 0 0 0 0 0 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.048 0.048 0 1.411 15 96 1
"70" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96 0 0 0 0 0 0 0 0 0 0 0 0 0.201 0 0 0.1 0 4.548 59 141 1
"75" 0 0 0.48 0 1.44 0 0.48 0 0 0 0 0.96 0 0 0 0.48 0.96 0 2.41 0 2.41 0 0.48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48 0 0 0 0 0.081 0 0.486 0.243 0 5.13 78 236 1
"76" 0 0.94 0.94 0 0 0 0 0 0 0.94 0 0 0 0 0 2.83 0 0 0.94 0 0.94 0 1.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.366 0 0 26.5 245 318 1
"78" 0.75 0.18 0.37 0 0.18 0.12 0 0.25 0.75 0.31 0.25 1.51 0.31 0.37 0 0.37 0.44 0.12 2.96 0.69 1.26 0 0.44 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0.12 0 0 0.12 0 0 0.06 0 0 0 0 0 0 0.085 0.053 0.437 0.234 0.064 3.675 45 1066 1
"82" 0 0 0.23 0 0 0 0.23 0 0 0.95 0 0.47 0 0.23 0 0.23 0.95 0 2.38 0 1.9 0 0 0.47 0 0 0 0 0 0 0 0 0 0 0 0.23 0.23 0 0 0 0 0 0 0 0 0 0 0 0 0.123 0 0.197 0 0.024 5.038 280 519 1
"86" 0 0.46 0.46 0 1.4 0 0.46 1.86 0 0.93 0.46 0 0 0 0 1.86 0 0 0.93 0.46 1.4 0 0 0.46 0 0 0 0 0 0 0 0 0 0 0 0 1.4 0 0 0.46 0 0 0 0 0 0 0 0 0 0.071 0 0.571 0.214 0 4.63 64 213 1
"90" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.153 0 0 0 0 3.8 23 38 1
"92" 0.47 0.31 0.47 0 0.05 0.13 0.05 0.26 0.44 0.76 0.26 0.97 0.58 1.26 0 0.26 0.44 0 3.25 0 1.5 0 1.05 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.004 0.066 0 0.322 0.764 0.159 6.1 193 3038 1
"96" 0 0 0.46 0 0 0 0.46 0 0 0 0.46 0 0 0 0 0 0 1.4 1.87 0 0 0.93 0.46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46 0 0 0 0 0 0 0 0 0 2.676 32 91 1
"101" 0 0 0 0 4.25 0 0.7 0 0 0 0 0 0 0 0 2.83 0 0 4.96 0 1.41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38 0 0 1.153 3 30 1
"108" 0 0 0 0 0 0.79 0 0 0 0 0 0 0 0 0 0.79 0 0 1.58 0 0 0 0.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79 0 0 0 0 0 0 0 0 0 0 0 0.115 0.231 0.347 0.462 0 0 5.793 22 168 1
"109" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.33 0 0 0 0 0 0 0 0 0 0 0 0.305 0.611 0 1.529 0 0 5.5 22 66 1
"117" 0.05 0.3 0.4 0 0.1 0.05 0 0.05 0.1 0 0 0.3 0.2 0 0.05 0 0 0.5 1.55 0.3 0.75 0 0.15 0.2 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0.045 0 0.054 0.118 0 2.37 96 588 1
"118" 0.05 0.3 0.4 0 0.1 0.05 0 0.05 0.1 0 0 0.3 0.2 0 0.05 0 0 0.5 1.55 0.3 0.75 0 0.15 0.2 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0.036 0 0.054 0.118 0 2.379 96 583 1
"119" 0 0 0 0 1.28 0 2.56 1.28 1.28 1.28 1.28 1.28 0 0 0 0 5.12 0 2.56 1.28 5.12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.542 0 0 102.666 304 308 1
"120" 0 0.55 0.55 0 2.23 0 1.11 0 0 0 0 0.55 0.55 0 0 0.55 2.79 0 3.91 0 1.67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.248 0 1.158 0.331 0 4.875 140 195 1
"128" 0 0 0 0 0 0 0.59 0 0 0 0 1.19 0 0 0 0 0 0.59 4.76 0 1.19 0 0 0.59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.427 0 0 10 33 170 1
"129" 0 0 0 0 1.6 0 0.4 1.2 0 0.4 0 0.8 0 0 0 0 1.6 0.4 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.706 0.212 0 1.838 13 114 1
"130" 0.41 0 0.41 0 0 0.41 0 0 0 0 0 2.07 0 0 0 0.41 0 0 7.05 0 2.48 0 0.82 0.41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.97 0.149 0 32.142 335 450 1
"132" 0 0 0 0 0.4 0.4 0.4 0.4 0 0 0.4 0 0 0 0 0.4 0 0 4 0 2 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.121 0 0 1.979 12 95 1
"141" 1 0 0.33 0 0.66 0.66 0 0 0 0 0 0.33 0.66 0 0 0.66 0.66 0 2.33 0 0.33 0 1.66 0.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0.12 0.541 0 5.428 21 304 1
"142" 0 0 0 0 0 0 1.58 0 0 0 0 0 1.58 0 0 0 0 0 1.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.558 0.279 0 3.272 23 36 1
"144" 0 0 0 0 0 0 1.58 0 0 0 0 0 1.58 0 0 0 0 0 1.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.558 0.279 0 3.272 23 36 1
"152" 0 0.56 0.56 0 2.25 0 1.12 0 0 0 0 0.56 0.56 0 0 0.56 2.82 0 3.95 0 1.69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.247 0 1.32 0.33 0 5.135 140 190 1
"160" 0 0 0 0 0.27 0 0 0 0 0.83 0 0 0 0 0 0 0 0 0.27 0 0.27 8.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.092 0 0.185 0.232 7.313 99 607 1
"169" 0 0.3 0.61 0 0.3 0 0.15 0 0 0.45 0.15 0 0.15 0 0.15 0.15 0 0.76 0.15 0.15 0.76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0.567 0.024 0.049 5.425 132 944 1
"170" 0 0 0 0 0 0 0.57 0 0 0.57 0 1.15 0.57 0 0 0 0 0.57 4.62 0 1.15 0 0 0.57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.518 0 0 10.117 33 172 1
"173" 0 0 1 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 2.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.357 0 0.892 0 0 2 19 172 1
"174" 0 0 0.54 0 0.54 0 0 0 0 0.54 0 0 0 0 0 0.54 0 0 1.64 0 0.54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.54 0 0 0 0 0.096 0 1.443 0 0 1.969 16 130 1
"177" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1 2 11 1
"178" 0.44 0 0 0 0.89 0 0 0 0 0.44 0 1.34 0 0 0 0.44 0 0 4.03 0 1.79 0 0 0.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44 0 0 0 0 0 0 0.944 0.145 0.072 2.451 28 152 1
"179" 0 0.66 0.66 0 0.33 0 0 0 0 0 0 0.66 0 0 0 0.33 0 1.32 2.64 0 1.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33 0 0 0 0 0.053 0 0.583 0 0 4.024 121 326 1
"180" 0 0 0 0 0 0 0 2.04 0 0 1.02 0 0 0 0 0 0 0 4.08 0 1.02 0 1.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.969 0 0 2.179 18 85 1
"181" 0.34 0.25 0.25 0 0.08 0.43 0.08 0.25 0.08 1.46 0.34 0.51 0.94 0 0.17 0.08 0 0 3.01 0 0.77 0.17 0.34 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17 0 0 0 0 0.048 0 0.258 0.258 0.113 5.297 300 694 1
"182" 0.34 0.26 0.26 0 0.08 0.43 0.08 0.26 0.08 1.47 0.34 0.52 0.95 0 0.17 0.08 0 0 3.03 0 0.78 0 0.34 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17 0 0 0 0 0.048 0 0.259 0.259 0.064 3.335 62 537 1
"186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.754 0 0 1 1 7 1
"188" 0 0 0 0 6.25 0 3.12 0 0 0 0 3.12 0 3.12 0 3.12 0 0 6.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.428 60 66 1
"190" 0 0 0 0 1.4 0.46 0.93 0 0 0 0 0 0.46 0 0 0.46 0.46 0 1.87 0 1.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.135 0 0.135 0 0 4 46 96 1
"191" 0 1.12 0.56 0 0.56 0.56 1.12 1.12 0 0 0.56 2.25 0 0 0 2.25 0 1.12 2.25 0 2.82 0 0.56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.416 5 51 1
"193" 0 0.8 0 0 0.8 0 0 0 0 0.8 0 0.8 0 0 0 1.61 0 0.8 0.8 0 2.41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 1.192 0 0 1.463 12 101 1
"198" 0.17 0 0.08 0 0.42 0.08 0.08 0.42 0.08 0.08 0 0.6 0.17 0.17 0 0 0.17 0.08 1.2 0 3.17 0 0.34 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.081 0.027 0.108 0.013 0 4.07 48 574 1
"199" 0.53 0 1.07 0 0.53 0 1.07 0 0 0 0 0.53 0 0 0 0.53 0.53 0 4.3 0 1.07 0 1.61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53 0 0 0 0 0 0 1.183 0.253 0 5.454 68 180 1
"202" 0 0 0.38 0 1.15 0 0 0 0 0.77 0 0.38 0 0 0 0.38 0.77 0 2.7 0 1.15 0 0.38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.15 0 0 0 0 0.061 0 0.985 0.184 0 3.923 78 255 1
"204" 0.43 0 0.43 0 0.43 0 0.86 0 0 0 0 0.43 0 0 0 0 0.86 0.43 1.29 0 4.76 0 0 1.29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14 0 0 0.915 0 0 3.891 47 144 1
"205" 0.45 0 0 0 0.68 0.45 0 0.45 0 0.22 0.22 0 1.6 0 0.45 0 0.91 1.83 1.83 0 0.68 0 1.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.91 0 0 0 0 0 0 0 0 0 0.037 0 0.187 0.112 0 3.184 30 363 1
"206" 0 0 1.12 0 0.56 0 0 0 0 0.56 0 0 0 0 0 0.56 0 0 2.25 0 1.12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.56 0 0 0 0 0.102 0 0.615 0 0 2.403 19 137 1
"207" 0 0 0.55 0 0.55 0 0 0 0 0.55 0 0 0 0 0 0.55 0 0 1.67 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0.099 0 0.893 0 0 2.122 16 121 1
"209" 0 0 0.61 0 0 0 0.61 0 0 0 0 0 0 0 0 0 1.23 1.85 2.46 0 1.23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.176 0 0.353 0 0 2.25 13 81 1
"219" 0.17 0.26 1.07 0 0.35 0.62 0.53 0.17 0.62 0.8 0.26 1.25 0.17 0 0.62 0.62 0.08 1.43 2.5 0.17 1.16 0 0.89 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0.08 0 0 0 0 0.066 0 0.212 0.185 0.013 6.815 583 1329 1
"222" 1.03 0 0.68 0 1.03 0 0.68 0 0 0.68 0 0.68 0 0 0.34 0.68 0 0 5.86 0 1.37 0 0.34 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0 0 0 0.366 0.061 0 1.895 12 91 1
"228" 0.46 0 0 0 0.69 0.46 0 0.46 0 0.23 0.23 0 1.61 0 0.46 0 0.92 1.84 1.84 0 0.69 0 1.61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.92 0 0 0 0 0 0 0 0 0 0.037 0 0.188 0.112 0 3.105 30 354 1
"229" 0 0 0.71 0 0.71 0 0 0 0 0 0 0 0 0 0 0.71 0 0 1.42 0 0.71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.71 0 0 0 0 0.121 0 1.094 0 0 2.021 16 95 1
"230" 0 1.49 0 0 0 0 2.98 0 0 1.49 0 0 0 0 0 1.49 2.98 0 0 0 2.98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.171 0 0 0.171 0.171 13 140 156 1
"237" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.29 0 0.64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.103 3 32 1
"238" 0.17 0 0.08 0 0.43 0.08 0.08 0.43 0.08 0.08 0 0.6 0.17 0.17 0 0 0.17 0.08 1.2 0 3.14 0 0.34 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.081 0.027 0.088 0.013 0 4.16 48 1140 1
"243" 0 0.55 0.55 0 1.11 0.55 2.23 0 0 0.55 0 0.55 0 0 0 0 0 0.55 3.35 0 1.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0.159 0 0.479 0 0.079 16.739 147 385 1
"244" 0 0 0 0 0 1.12 0 2.24 0 0 1.12 1.12 0 0 0 0 0 0 4.49 0 0 0 1.12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.814 0 0 2.6 15 39 1
"248" 0 0 0 0 0 0 1.07 0 0 0 0 0 0 0 0 2.15 0 0 0 0 2.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.07 0 0 0 0 0 0 0 0 0 0 0 0.145 0.437 0.291 1.823 10 62 1
"251" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39 0 0.39 0 0 0 3.58 0.39 0 0 0 0.39 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39 0.39 0 0 0 0 0 0 0 0 0 2.5 21 130 1
"254" 0.48 0.2 0.55 0 0.27 0.2 0 0.27 0.27 0.97 0.41 1.04 0.13 0 0 1.11 0.69 0.06 2.37 0 1.04 0 0.06 0.69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0 0 0.13 0 0 0 0 0.105 0 0.75 0.305 0 3.401 94 966 1
"258" 0.8 0 0.8 0 1.6 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 1.6 0 2.4 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.62 0.347 0 2.604 22 125 1
"259" 0 0 0.33 0 0.99 0.99 0.33 0.33 0 0 0 0.33 0.33 0 0 0.33 0.33 0 1.98 0 3.3 0 0 0.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33 0 0 0 0 0.108 0 0 0.162 0.054 2.195 50 202 1
"265" 0 0.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79 0.79 1.58 3.17 0 1.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79 0 0 0 0 0.271 0 0.271 0.135 0 3.257 26 114 1
"266" 0.14 0.14 0.29 0 0 0 0 0 1.17 0.29 0.14 0.58 0 0 0 0.14 0 0.14 2.35 0.14 0.88 0 0 0.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29 0 0 0 0 0 0 0 0 0 0 0 0.204 0 0.204 0.127 0.102 2.962 73 400 1
"269" 0.58 0 0 0 2.33 0 1.16 0 0 0 0.58 0 0 0.58 0 0.58 0 0.58 2.92 1.16 2.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27 0 0.09 0.09 0 1.829 9 75 1
"272" 0 0 0.58 0 1.17 0 0.58 0 0 0 0 0.58 0 0 0 0.58 0 0 1.76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.829 0 0 2.529 8 86 1
"278" 0 0.57 0.57 0 1.14 0.57 2.28 0 0 0.57 0 0.57 0 0 0 0 0 0.57 3.42 0 1.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.57 0 0 0 0 0.081 0 0.487 0 0.081 16.217 147 373 1
